ALDER;TID;CIVILSTAND;OMRÅDE;INDHOLD
I alt;2020K4;Gift/separeret;Hele landet;2138124
I alt;2020K4;Ugift;Hele landet;2859116
0 år;2020K4;Gift/separeret;Hele landet;0
0 år;2020K4;Ugift;Hele landet;61381
1 år;2020K4;Gift/separeret;Hele landet;0
1 år;2020K4;Ugift;Hele landet;61650
2 år;2020K4;Gift/separeret;Hele landet;0
2 år;2020K4;Ugift;Hele landet;62532
3 år;2020K4;Gift/separeret;Hele landet;0
3 år;2020K4;Ugift;Hele landet;61928
4 år;2020K4;Gift/separeret;Hele landet;0
4 år;2020K4;Ugift;Hele landet;62597
5 år;2020K4;Gift/separeret;Hele landet;0
5 år;2020K4;Ugift;Hele landet;59132
6 år;2020K4;Gift/separeret;Hele landet;0
6 år;2020K4;Ugift;Hele landet;58528
7 år;2020K4;Gift/separeret;Hele landet;0
7 år;2020K4;Ugift;Hele landet;59354
8 år;2020K4;Gift/separeret;Hele landet;0
8 år;2020K4;Ugift;Hele landet;60586
9 år;2020K4;Gift/separeret;Hele landet;0
9 år;2020K4;Ugift;Hele landet;63442
10 år;2020K4;Gift/separeret;Hele landet;0
10 år;2020K4;Ugift;Hele landet;66642
11 år;2020K4;Gift/separeret;Hele landet;0
11 år;2020K4;Ugift;Hele landet;66984
12 år;2020K4;Gift/separeret;Hele landet;0
12 år;2020K4;Ugift;Hele landet;69063
13 år;2020K4;Gift/separeret;Hele landet;0
13 år;2020K4;Ugift;Hele landet;67463
14 år;2020K4;Gift/separeret;Hele landet;0
14 år;2020K4;Ugift;Hele landet;68501
15 år;2020K4;Gift/separeret;Hele landet;0
15 år;2020K4;Ugift;Hele landet;68110
16 år;2020K4;Gift/separeret;Hele landet;0
16 år;2020K4;Ugift;Hele landet;68059
17 år;2020K4;Gift/separeret;Hele landet;0
17 år;2020K4;Ugift;Hele landet;67736
18 år;2020K4;Gift/separeret;Hele landet;13
18 år;2020K4;Ugift;Hele landet;67886
19 år;2020K4;Gift/separeret;Hele landet;74
19 år;2020K4;Ugift;Hele landet;70314
20 år;2020K4;Gift/separeret;Hele landet;231
20 år;2020K4;Ugift;Hele landet;71873
21 år;2020K4;Gift/separeret;Hele landet;575
21 år;2020K4;Ugift;Hele landet;72919
22 år;2020K4;Gift/separeret;Hele landet;1104
22 år;2020K4;Ugift;Hele landet;73281
23 år;2020K4;Gift/separeret;Hele landet;1971
23 år;2020K4;Ugift;Hele landet;76513
24 år;2020K4;Gift/separeret;Hele landet;3323
24 år;2020K4;Ugift;Hele landet;74894
25 år;2020K4;Gift/separeret;Hele landet;5390
25 år;2020K4;Ugift;Hele landet;76716
26 år;2020K4;Gift/separeret;Hele landet;7782
26 år;2020K4;Ugift;Hele landet;72077
27 år;2020K4;Gift/separeret;Hele landet;11080
27 år;2020K4;Ugift;Hele landet;68725
28 år;2020K4;Gift/separeret;Hele landet;14725
28 år;2020K4;Ugift;Hele landet;64341
29 år;2020K4;Gift/separeret;Hele landet;18106
29 år;2020K4;Ugift;Hele landet;58801
30 år;2020K4;Gift/separeret;Hele landet;22054
30 år;2020K4;Ugift;Hele landet;53898
31 år;2020K4;Gift/separeret;Hele landet;24633
31 år;2020K4;Ugift;Hele landet;48657
32 år;2020K4;Gift/separeret;Hele landet;27145
32 år;2020K4;Ugift;Hele landet;42918
33 år;2020K4;Gift/separeret;Hele landet;28876
33 år;2020K4;Ugift;Hele landet;38418
34 år;2020K4;Gift/separeret;Hele landet;30431
34 år;2020K4;Ugift;Hele landet;35288
35 år;2020K4;Gift/separeret;Hele landet;31269
35 år;2020K4;Ugift;Hele landet;32035
36 år;2020K4;Gift/separeret;Hele landet;31867
36 år;2020K4;Ugift;Hele landet;28768
37 år;2020K4;Gift/separeret;Hele landet;32675
37 år;2020K4;Ugift;Hele landet;26542
38 år;2020K4;Gift/separeret;Hele landet;33934
38 år;2020K4;Ugift;Hele landet;25126
39 år;2020K4;Gift/separeret;Hele landet;35034
39 år;2020K4;Ugift;Hele landet;23939
40 år;2020K4;Gift/separeret;Hele landet;37745
40 år;2020K4;Ugift;Hele landet;23638
41 år;2020K4;Gift/separeret;Hele landet;38791
41 år;2020K4;Ugift;Hele landet;22435
42 år;2020K4;Gift/separeret;Hele landet;40136
42 år;2020K4;Ugift;Hele landet;21848
43 år;2020K4;Gift/separeret;Hele landet;39917
43 år;2020K4;Ugift;Hele landet;20471
44 år;2020K4;Gift/separeret;Hele landet;42480
44 år;2020K4;Ugift;Hele landet;20984
45 år;2020K4;Gift/separeret;Hele landet;44804
45 år;2020K4;Ugift;Hele landet;21246
46 år;2020K4;Gift/separeret;Hele landet;44188
46 år;2020K4;Ugift;Hele landet;19926
47 år;2020K4;Gift/separeret;Hele landet;44168
47 år;2020K4;Ugift;Hele landet;19284
48 år;2020K4;Gift/separeret;Hele landet;46608
48 år;2020K4;Ugift;Hele landet;19343
49 år;2020K4;Gift/separeret;Hele landet;45038
49 år;2020K4;Ugift;Hele landet;18116
50 år;2020K4;Gift/separeret;Hele landet;43636
50 år;2020K4;Ugift;Hele landet;16711
51 år;2020K4;Gift/separeret;Hele landet;43729
51 år;2020K4;Ugift;Hele landet;16501
52 år;2020K4;Gift/separeret;Hele landet;45571
52 år;2020K4;Ugift;Hele landet;16584
53 år;2020K4;Gift/separeret;Hele landet;49121
53 år;2020K4;Ugift;Hele landet;17551
54 år;2020K4;Gift/separeret;Hele landet;51013
54 år;2020K4;Ugift;Hele landet;17493
55 år;2020K4;Gift/separeret;Hele landet;49791
55 år;2020K4;Ugift;Hele landet;16433
56 år;2020K4;Gift/separeret;Hele landet;48603
56 år;2020K4;Ugift;Hele landet;15761
57 år;2020K4;Gift/separeret;Hele landet;47007
57 år;2020K4;Ugift;Hele landet;14757
58 år;2020K4;Gift/separeret;Hele landet;45561
58 år;2020K4;Ugift;Hele landet;13577
59 år;2020K4;Gift/separeret;Hele landet;44281
59 år;2020K4;Ugift;Hele landet;12616
60 år;2020K4;Gift/separeret;Hele landet;44092
60 år;2020K4;Ugift;Hele landet;11951
61 år;2020K4;Gift/separeret;Hele landet;43280
61 år;2020K4;Ugift;Hele landet;11161
62 år;2020K4;Gift/separeret;Hele landet;42965
62 år;2020K4;Ugift;Hele landet;10690
63 år;2020K4;Gift/separeret;Hele landet;42660
63 år;2020K4;Ugift;Hele landet;10048
64 år;2020K4;Gift/separeret;Hele landet;42952
64 år;2020K4;Ugift;Hele landet;9495
65 år;2020K4;Gift/separeret;Hele landet;41960
65 år;2020K4;Ugift;Hele landet;8689
66 år;2020K4;Gift/separeret;Hele landet;40955
66 år;2020K4;Ugift;Hele landet;8074
67 år;2020K4;Gift/separeret;Hele landet;42051
67 år;2020K4;Ugift;Hele landet;7504
68 år;2020K4;Gift/separeret;Hele landet;39872
68 år;2020K4;Ugift;Hele landet;6670
69 år;2020K4;Gift/separeret;Hele landet;39285
69 år;2020K4;Ugift;Hele landet;5928
70 år;2020K4;Gift/separeret;Hele landet;40086
70 år;2020K4;Ugift;Hele landet;5457
71 år;2020K4;Gift/separeret;Hele landet;39555
71 år;2020K4;Ugift;Hele landet;4815
72 år;2020K4;Gift/separeret;Hele landet;40784
72 år;2020K4;Ugift;Hele landet;4407
73 år;2020K4;Gift/separeret;Hele landet;42657
73 år;2020K4;Ugift;Hele landet;4290
74 år;2020K4;Gift/separeret;Hele landet;42096
74 år;2020K4;Ugift;Hele landet;3913
75 år;2020K4;Gift/separeret;Hele landet;38275
75 år;2020K4;Ugift;Hele landet;3277
76 år;2020K4;Gift/separeret;Hele landet;34132
76 år;2020K4;Ugift;Hele landet;2859
77 år;2020K4;Gift/separeret;Hele landet;29610
77 år;2020K4;Ugift;Hele landet;2361
78 år;2020K4;Gift/separeret;Hele landet;25945
78 år;2020K4;Ugift;Hele landet;1973
79 år;2020K4;Gift/separeret;Hele landet;21604
79 år;2020K4;Ugift;Hele landet;1652
80 år;2020K4;Gift/separeret;Hele landet;19583
80 år;2020K4;Ugift;Hele landet;1509
81 år;2020K4;Gift/separeret;Hele landet;17003
81 år;2020K4;Ugift;Hele landet;1382
82 år;2020K4;Gift/separeret;Hele landet;14868
82 år;2020K4;Ugift;Hele landet;1216
83 år;2020K4;Gift/separeret;Hele landet;12496
83 år;2020K4;Ugift;Hele landet;1062
84 år;2020K4;Gift/separeret;Hele landet;10253
84 år;2020K4;Ugift;Hele landet;942
85 år;2020K4;Gift/separeret;Hele landet;8393
85 år;2020K4;Ugift;Hele landet;813
86 år;2020K4;Gift/separeret;Hele landet;6525
86 år;2020K4;Ugift;Hele landet;671
87 år;2020K4;Gift/separeret;Hele landet;5177
87 år;2020K4;Ugift;Hele landet;637
88 år;2020K4;Gift/separeret;Hele landet;4078
88 år;2020K4;Ugift;Hele landet;511
89 år;2020K4;Gift/separeret;Hele landet;3095
89 år;2020K4;Ugift;Hele landet;460
90 år;2020K4;Gift/separeret;Hele landet;2243
90 år;2020K4;Ugift;Hele landet;398
91 år;2020K4;Gift/separeret;Hele landet;1681
91 år;2020K4;Ugift;Hele landet;338
92 år;2020K4;Gift/separeret;Hele landet;1223
92 år;2020K4;Ugift;Hele landet;256
93 år;2020K4;Gift/separeret;Hele landet;823
93 år;2020K4;Ugift;Hele landet;222
94 år;2020K4;Gift/separeret;Hele landet;594
94 år;2020K4;Ugift;Hele landet;151
95 år;2020K4;Gift/separeret;Hele landet;347
95 år;2020K4;Ugift;Hele landet;143
96 år;2020K4;Gift/separeret;Hele landet;195
96 år;2020K4;Ugift;Hele landet;96
97 år;2020K4;Gift/separeret;Hele landet;110
97 år;2020K4;Ugift;Hele landet;64
98 år;2020K4;Gift/separeret;Hele landet;60
98 år;2020K4;Ugift;Hele landet;46
99 år;2020K4;Gift/separeret;Hele landet;40
99 år;2020K4;Ugift;Hele landet;42
100 år;2020K4;Gift/separeret;Hele landet;18
100 år;2020K4;Ugift;Hele landet;26
101 år;2020K4;Gift/separeret;Hele landet;14
101 år;2020K4;Ugift;Hele landet;7
102 år;2020K4;Gift/separeret;Hele landet;7
102 år;2020K4;Ugift;Hele landet;9
103 år;2020K4;Gift/separeret;Hele landet;2
103 år;2020K4;Ugift;Hele landet;3
104 år;2020K4;Gift/separeret;Hele landet;0
104 år;2020K4;Ugift;Hele landet;2
105 år;2020K4;Gift/separeret;Hele landet;0
105 år;2020K4;Ugift;Hele landet;2
106 år;2020K4;Gift/separeret;Hele landet;0
106 år;2020K4;Ugift;Hele landet;1
107 år;2020K4;Gift/separeret;Hele landet;0
107 år;2020K4;Ugift;Hele landet;0
108 år;2020K4;Gift/separeret;Hele landet;0
108 år;2020K4;Ugift;Hele landet;1
109 år;2020K4;Gift/separeret;Hele landet;0
109 år;2020K4;Ugift;Hele landet;0
110 år;2020K4;Gift/separeret;Hele landet;0
110 år;2020K4;Ugift;Hele landet;0
111 år;2020K4;Gift/separeret;Hele landet;0
111 år;2020K4;Ugift;Hele landet;0
112 år;2020K4;Gift/separeret;Hele landet;0
112 år;2020K4;Ugift;Hele landet;0
113 år;2020K4;Gift/separeret;Hele landet;0
113 år;2020K4;Ugift;Hele landet;0
114 år;2020K4;Gift/separeret;Hele landet;0
114 år;2020K4;Ugift;Hele landet;0
115 år;2020K4;Gift/separeret;Hele landet;0
115 år;2020K4;Ugift;Hele landet;0
116 år;2020K4;Gift/separeret;Hele landet;0
116 år;2020K4;Ugift;Hele landet;0
117 år;2020K4;Gift/separeret;Hele landet;0
117 år;2020K4;Ugift;Hele landet;0
118 år;2020K4;Gift/separeret;Hele landet;0
118 år;2020K4;Ugift;Hele landet;0
119 år;2020K4;Gift/separeret;Hele landet;0
119 år;2020K4;Ugift;Hele landet;0
120 år;2020K4;Gift/separeret;Hele landet;0
120 år;2020K4;Ugift;Hele landet;0
121 år;2020K4;Gift/separeret;Hele landet;0
121 år;2020K4;Ugift;Hele landet;0
122 år;2020K4;Gift/separeret;Hele landet;0
122 år;2020K4;Ugift;Hele landet;0
123 år;2020K4;Gift/separeret;Hele landet;0
123 år;2020K4;Ugift;Hele landet;0
124 år;2020K4;Gift/separeret;Hele landet;0
124 år;2020K4;Ugift;Hele landet;0
125 år;2020K4;Gift/separeret;Hele landet;0
125 år;2020K4;Ugift;Hele landet;0
